id,title,solicitation_number,agency,posted_date,response_deadline,naics_code,award_amount,place_of_performance,description,contact_name,contact_email,contact_phone,url,keywords_matched,relevance,service_type,source,sector,opportunity_type,engagement_model,status,is_new,notes
manual-005,Mass General Brigham Inter-Campus Shuttle Operations,,Mass General Brigham (formerly Partners Healthcare),2026-01-10,2026-04-30,485310,1200000,"Greater Boston, MA","Multi-campus shuttle transportation contract for Mass General Brigham health system. Covers inter-facility transport between 16+ locations including MGH, Brigham and Women's, Newton-Wellesley, and satellite clinics. Requires fleet of 15+ vehicles, GPS tracking, ADA compliance, and integration with hospital scheduling systems. 3-year base contract with 2 option years.",MGB Procurement Office,procurement@partners.org,617-555-0234,https://www.massgeneralbrigham.org/en/about/procurement,shuttle; fleet; contract; option year,high,Hospital Shuttle,Manual,private,contract,contract,active,True,Largest healthcare shuttle contract in MA. 3+2 year term. Requires significant fleet investment. High-value recurring revenue.
manual-001,MassHealth NEMT Brokerage Services,,Massachusetts Executive Office of Health and Human Services,2025-09-15,2025-12-01,621910,850000,"Statewide, MA","Non-emergency medical transportation brokerage services for MassHealth members. Includes scheduling, dispatching, and coordination of wheelchair van, stretcher, and ambulatory transport across all Massachusetts counties. Broker must maintain network of qualified NEMT providers.",Jane Rodriguez,jane.rodriguez@mass.gov,617-555-0142,https://www.commbuys.com/bso/external/publicBids.sdo,nemt; non-emergency medical; medical transport; wheelchair; stretcher; ambulatory; non-emergency; medical transportation; rfp; contract,high,NEMT,Manual,public,contract,contract,active,False,Large statewide contract. Check COMMBUYS for RFP updates. Previous contract held by regional broker.
manual-008,Massport Logan Airport Hotel Shuttle Concession,,Massachusetts Port Authority (Massport),2026-02-01,2026-05-15,485310,800000,"Boston / East Boston, MA","Ground transportation concession for hotel and car rental shuttle services at Logan International Airport. Multi-route shuttle operations connecting terminals to airport hotels, rental car facilities, and employee parking areas. High-frequency service 18+ hours/day, 365 days/year.",Massport Business Opportunities,business@massport.com,617-568-5961,https://www.massport.com/massport/business/bids-opportunities/,shuttle; airport; passenger; ground transportation; hotel shuttle; bid; contract,high,Airport Transport,Manual,public,contract,contract,active,True,Massport public bid. Airport concession contract with guaranteed passenger volume. TSA compliance required.
manual-017,Harvard University Evening & Weekend Shuttle Operations,,Harvard University Transportation Services,2026-02-05,2026-06-30,485310,750000,"Cambridge / Boston / Allston, MA","Evening and weekend shuttle operations for Harvard University covering Cambridge, Allston, and Longwood Medical Area campuses. Includes M2 shuttle route, evening van service, and special event transport. Fleet of 10+ vehicles required. GPS tracking and real-time arrival information mandatory.",Harvard Strategic Procurement,procurement@harvard.edu,617-495-1551,https://www.harvard.edu/procurement,shuttle; transportation services; van service; fleet; event transport; contract,high,Campus Shuttle,Manual,private,contract,contract,active,True,Major university shuttle contract. Academic year focus. Competitive but high-value recurring revenue.
manual-007,Boston University Campus Shuttle Operations Contract,,Boston University Procurement Services,2026-01-20,2026-06-01,485310,650000,"Boston, MA","Campus shuttle operations contract for Boston University connecting Charles River Campus, Medical Campus, and Fenway area. Includes BU Shuttle (Commonwealth Ave corridor), BU Medical Campus shuttle, and late-night safe ride service. Requires fleet of 12+ buses/shuttles with GPS tracking and real-time passenger information system.",BU Procurement,procurement@bu.edu,617-353-2548,https://www.bu.edu/procurement/,shuttle; passenger; fleet; procurement; contract,high,Campus Shuttle,Manual,private,contract,contract,active,True,Large university contract. Academic year service with reduced summer schedule. Requires reliable fleet and dispatch systems.
manual-019,MassDOT Highway Division - Emergency Vehicle Towing & Transport,,Massachusetts Department of Transportation,2026-01-15,2026-04-30,488410,600000,"Statewide, MA","Emergency and non-emergency vehicle towing, recovery, and transport services for MassDOT highway operations. Zone-based contract covering Massachusetts highway system. Includes disabled vehicle removal, accident clearance, and heavy-duty towing. 24/7 service required.",MassDOT Procurement,procurement@dot.state.ma.us,,https://www.mass.gov/orgs/massachusetts-department-of-transportation,non-emergency; towing; contract; award,high,Freight,Manual,public,contract,contract,active,True,State contract via COMMBUYS. Zone-based with multiple awards. Requires heavy-duty towing capability.
manual-011,GATRA Demand-Response Paratransit Service Contract,,Greater Attleboro Taunton Regional Transit Authority (GATRA),2025-12-15,2026-03-31,485320,550000,Southeastern MA,"Demand-response paratransit and dial-a-ride transportation services for GATRA service area covering 28 communities in southeastern Massachusetts. Includes ADA paratransit, senior transport, and medical appointment trips. Estimated 500+ trips per week. Vehicle provision and driver staffing by contractor.",GATRA Administrator,admin@gatra.org,508-823-8828,https://www.gatra.org/procurement/,paratransit; dial-a-ride; transportation services; transit; contract,high,Paratransit,Manual,public,contract,contract,active,True,Regional transit authority contract. FTA-funded. DBE (Disadvantaged Business Enterprise) goals apply.
manual-013,MWRTA Fixed-Route and Paratransit Operations,,MetroWest Regional Transit Authority (MWRTA),2026-02-01,2026-05-01,485310,480000,"MetroWest, MA (Framingham/Natick/Marlborough)","Fixed-route bus and demand-response paratransit service operations for MWRTA. Covers 16 MetroWest communities. Contractor provides vehicle operators, dispatch, and maintenance support. Approximately 400 fixed-route trips and 300 demand-response trips per week.",MWRTA Director,info@mwrta.com,508-935-2222,https://www.mwrta.com/procurement,paratransit; transit; contract,high,Paratransit,Manual,public,contract,contract,active,True,Regional transit operations contract. FTA-funded with DBE goals. Good entry point for transit operators.
manual-006,Tufts Medicine Patient Transport Network,,"Tufts Medicine (Tufts Medical Center, Lowell General, MelroseWakefield)",2026-01-15,2026-05-01,621910,450000,"Northern MA / Boston, MA","Patient transport services connecting Tufts Medical Center (Boston), Lowell General Hospital, and MelroseWakefield Healthcare campuses. Includes scheduled inter-facility transfers, dialysis transport, and outpatient appointment shuttles. Wheelchair and stretcher service required.",Vendor Management,vendors@tuftsmedicalcenter.org,,https://www.tuftsmedicalcenter.org,patient transport; wheelchair; stretcher; shuttle,high,NEMT,Manual,private,contract,contract,active,True,Multi-hospital system. Strong demand for wheelchair and stretcher transport between Boston and suburban campuses.
manual-015,Boston Convention & Exhibition Center Event Shuttle Contract,,Massachusetts Convention Center Authority (MCCA),2026-02-01,2026-06-01,485310,400000,"Boston / Springfield, MA","Shuttle and ground transportation services for conventions and events at BCEC (Seaport), Hynes Convention Center (Back Bay), and MassMutual Center (Springfield). Includes attendee shuttles between hotels and venues, VIP transport, and exhibit freight coordination. Task-order based with guaranteed minimum volume.",MCCA Business Development,business@massconvention.com,617-954-2000,https://www.massconvention.com/about-us/business-opportunities,shuttle; transportation services; ground transportation; freight; contract; vendor; task order; minimum volume,high,Airport Transport,Manual,public,contract,contract,active,True,Event-based contract with seasonal peaks. Preferred vendor status with per-event task orders.
